tau_1,tau_2,patch_acc_multi,patch_f1_macro,patch_pre_macro,patch_rec_macro,patch_f1_weighted,patch_pre_weighted,patch_rec_weighted,patch_f1_micro,patch_acc_bin,patch_f1_bin,patch_pre_bin,patch_rec_bin
0.18,0.16,0.9809,0.8589,0.8476,0.8718,0.9811,0.9815,0.9809,0.9809,0.9841,0.8794,0.8574,0.9026
0.18,0.17,0.9809,0.8586,0.8487,0.8698,0.9811,0.9814,0.9809,0.9809,0.9841,0.879,0.8602,0.8986
0.18,0.18,0.9806,0.8569,0.8481,0.8667,0.9808,0.9811,0.9806,0.9806,0.9839,0.8767,0.8596,0.8945
0.19,0.0,0.9801,0.8485,0.8791,0.8215,0.9796,0.9795,0.9801,0.9801,0.9831,0.8629,0.8989,0.8296
0.19,0.01,0.9552,0.7817,0.7096,0.8968,0.9607,0.9718,0.9552,0.9552,0.9594,0.7528,0.6177,0.9635
0.19,0.02,0.9669,0.8117,0.7522,0.8942,0.9697,0.9752,0.9669,0.9669,0.971,0.8079,0.7021,0.9513
0.19,0.03,0.9727,0.8359,0.7885,0.8981,0.9744,0.9779,0.9727,0.9727,0.9762,0.8359,0.7492,0.9452
0.19,0.04,0.9746,0.8407,0.798,0.8944,0.976,0.9786,0.9746,0.9746,0.9781,0.8464,0.7704,0.9391
0.19,0.05,0.976,0.8454,0.8068,0.8929,0.9772,0.9794,0.976,0.976,0.9796,0.8548,0.7857,0.9371
0.19,0.06,0.9771,0.8476,0.8149,0.8872,0.978,0.9798,0.9771,0.9771,0.9806,0.8604,0.7997,0.931
0.19,0.07,0.9784,0.8524,0.823,0.8874,0.9792,0.9806,0.9784,0.9784,0.9819,0.8685,0.8138,0.931
0.19,0.08,0.9785,0.8512,0.8252,0.882,0.9792,0.9805,0.9785,0.9785,0.982,0.8686,0.8187,0.9249
0.19,0.09,0.979,0.8512,0.8273,0.8787,0.9796,0.9806,0.979,0.979,0.9826,0.8712,0.8282,0.9189
0.19,0.1,0.9796,0.8529,0.8309,0.8778,0.9801,0.9809,0.9796,0.9796,0.9831,0.8743,0.8355,0.9168
0.19,0.11,0.9801,0.8549,0.8371,0.8751,0.9805,0.9811,0.9801,0.9801,0.9836,0.8772,0.8443,0.9128
